name,kind,lat,lon,province/city
Thanh Tâm,motel,17.4606623,106.6243342,Quảng Bình
Anh Sáng,motel,17.4606127,106.624323,Quảng Bình
Anh Kiệt,motel,17.4606729,106.6244386,Quảng Bình
Phong Nha Eco Mountain Farmstay,hostel,17.5818037,106.3087403,Quảng Bình
Khách Sạn Hoàng Linh,hotel,17.4591344,106.625133,Quảng Bình
Greenfield Ecostay,hotel,17.6217602,106.3528612,Quảng Bình
Thai an Hostel,hostel,17.4833512,106.599591,Quảng Bình
Hoàng Đức,guest_house,17.3644887,106.6776582,Quảng Bình
Cau Nhat Le,attraction,17.4723648,106.6269944,Quảng Bình
Cầu Long Đại,attraction,17.3247947,106.6237483,Quảng Bình
Long Dai,attraction,17.3244403,106.6239025,Quảng Bình
Thanh Le Khanh Thanh,attraction,17.6016196,106.2912367,Quảng Bình
Pha Xuan Son,memorial,17.6114646,106.3068073,Quảng Bình
Ho Xuan Tien,attraction,17.6117762,106.3112871,Quảng Bình
Cau Bong Lai,attraction,17.5953834,106.3620585,Quảng Bình
Nha Tho Giao Ho Bong Lai,attraction,17.5905387,106.3591184,Quảng Bình
Cau Bong,attraction,17.6158217,106.3692487,Quảng Bình
An Binh Hotel,hotel,17.6107777,106.3112972,Quảng Bình
Victor Hotel,hotel,17.4619749,106.6243183,Quảng Bình
Phuong Nam Hotel,hotel,17.4599856,106.6253209,Quảng Bình
Thien Long Hotel,hotel,17.4604661,106.62515,Quảng Bình
"Eight ladies cave (this is only a memorial place, entrance to cave not possible!)",memorial,17.5026045,106.2603225,Quảng Bình
Gold Plus Hotel,hotel,17.6099382,106.310893,Quảng Bình
Shambalaa Hostel,hostel,17.610341,106.3098805,Quảng Bình
Phong nah-tuan garden house,hostel,17.6141106,106.3161249,Quảng Bình
Sy's Homestay,hotel,17.6156317,106.3240427,Quảng Bình
Thien Phu Hostel,hostel,17.6098277,106.3122095,Quảng Bình
Tuan's Garden House,hotel,17.6136602,106.3162136,Quảng Bình
Jungle Boss Sales Office,attraction,17.6102401,106.3103557,Quảng Bình
Jungle Boss Homestay,guest_house,17.595716,106.2915561,Quảng Bình
mini free cave,cave_entrance,17.5446357,106.2341883,Quảng Bình
Cảnh Dương,attraction,17.8714873,106.4478191,Quảng Bình
Ban Arem,attraction,17.3916892,106.2161614,Quảng Bình
PHONG NHA AMANDA HOMESTAY,hotel,17.6268281,106.2927582,Quảng Bình
HIGH DREAM Hostel,hostel,17.4732559,106.6220549,Quảng Bình
Tropical Valley Hostel,hostel,17.5979597,106.2922473,Quảng Bình
Tarzan's homestay,hotel,17.6166813,106.3219953,Quảng Bình
Bức tường Việt Nam,camp_site,17.4906042,106.2874564,Quảng Bình
Mango Hostel,hostel,17.6103702,106.3097073,Quảng Bình
Ước Mơ,motel,17.4734703,106.621994,Quảng Bình
Bong Lai Rattan House,attraction,17.5925352,106.3570327,Quảng Bình
Peacock cage,attraction,17.5518732,106.2987795,Quảng Bình
Green Valley Hotel,hotel,17.6108376,106.3093526,Quảng Bình
Green Valley hotel,hotel,17.6113654,106.3095276,Quảng Bình
Environmental Interpretation,attraction,17.5800743,106.3084214,Quảng Bình
Son Doong Riverside,guest_house,17.6064001,106.3003897,Quảng Bình
Điểm Ngắm Cánh Viewpoint,viewpoint,17.5566701,106.2990221,Quảng Bình
Hoa Mai,hotel,17.8842065,106.4457964,Quảng Bình
BFF Homestay,hostel,17.616418,106.3214326,Quảng Bình
Areca bungalow,guest_house,17.6006263,106.2952266,Quảng Bình
Phong Nha Friendly Home,hotel,17.605193,106.2994937,Quảng Bình
Ma Da Lake,viewpoint,17.4990579,106.2698103,Quảng Bình
Elephant Cave,cave_entrance,17.5205409,106.2842369,Quảng Bình
Hung Phat Bungalow,guest_house,17.6169338,106.323605,Quảng Bình
Hoang Dat Hotel,hotel,17.4970562,106.5925472,Quảng Bình
Pomelo Homestay,hotel,17.601569,106.2968686,Quảng Bình
Cảng Đồng Hới,memorial,17.4753251,106.6232884,Quảng Bình
Children Statue,artwork,17.4759998,106.6235837,Quảng Bình
Dolphin statue,artwork,17.4766302,106.6239072,Quảng Bình
Đồng Hới castle Memorial board,memorial,17.4663521,106.6233244,Quảng Bình
Đài tưởng niệm liệt sĩ,memorial,17.4721477,106.6203886,Quảng Bình
Khách sạn Royal,hotel,17.4647929,106.6197865,Quảng Bình
A statue,artwork,17.4703869,106.6245318,Quảng Bình
Dao Duy Tu's wall mone,memorial,17.4828758,106.6258703,Quảng Bình
Charm’s Homestay,hotel,17.5950733,106.2855704,Quảng Bình
Hang Én,cave_entrance,17.4345655,106.3003618,Quảng Bình
Nhà Ken Xíu QB,apartment,17.4587611,106.6111074,Quảng Bình
Restful River Bungalow,hotel,17.5988747,106.292411,Quảng Bình
Mường Thanh Holiday Quảng Trị,hotel,17.486359,106.6268113,Quảng Bình
An An Homestay,guest_house,17.597845,106.2915047,Quảng Bình
Nam Ahn,hotel,17.6097695,106.3124778,Quảng Bình
Fami Homestay,guest_house,17.6164629,106.3215384,Quảng Bình
Song Que Homestay,hotel,17.6087398,106.301742,Quảng Bình
Viet anh,hotel,17.3295225,106.6490031,Quảng Bình
Riverview Home,hotel,17.6067376,106.3005758,Quảng Bình
Bong Lai Swing Nature Eco Farm,attraction,17.5893153,106.3594897,Quảng Bình
Trung Đức hotel,guest_house,17.6103861,106.3057657,Quảng Bình
Hello Buffalo,attraction,17.623233,106.3541891,Quảng Bình
Sunset spot,viewpoint,17.5997025,106.2939295,Quảng Bình
Quảng Bình Quan,city_gate,17.4633364,106.6240516,Quảng Bình
Tượng đài Mẹ Suốt,artwork,17.4654591,106.6271418,Quảng Bình
Bia Di Tích Sân Bay Dã Chiến Khe Gát,attraction,17.6601088,106.2179694,Quảng Bình
Ngoc's Garden House,hotel,17.6080925,106.3145544,Quảng Bình
Bãi biển Nhật Lệ,beach,17.491054,106.627149,Quảng Bình
Mây tre đàn Thọ Đơn,attraction,17.7501472,106.4462906,Quảng Bình
Xã Bảo Ninh - nghề làm nước mắm,attraction,17.4685912,106.6347573,Quảng Bình
Làng nón Thổ Ngọa,attraction,17.7391171,106.4389062,Quảng Bình
Làng nón Quy Hậu,attraction,17.2163384,106.7976885,Quảng Bình
Plage de da nhai,attraction,17.655376,106.5188128,Quảng Bình
Ly hoa site pittoresque,attraction,17.6507371,106.5165929,Quảng Bình
Bãi tắm Hải Ninh Kính chào quý khách,information,17.3668575,106.6887716,Quảng Bình
debut  balade moto,attraction,17.6305645,106.3595994,Quảng Bình
début balade moto,attraction,17.6273844,106.3528085,Quảng Bình
Hố Sụt 2 Hang Sơn Đoòng,cave_entrance,17.471335,106.2873227,Quảng Bình
Bảo tàng tổng hợp tỉnh Quảng Trị,museum,17.4682209,106.6236288,Quảng Bình
Riverview Homestay,hostel,17.4839526,106.6259011,Quảng Bình
Ozo Park,theme_park,17.5249336,106.2748613,Quảng Bình
Tourist Information Centre,information,17.4648837,106.6241064,Quảng Bình
Cagina Boutique Hostel,hostel,17.484963,106.6249387,Quảng Bình
Meliã Vinpearl Hotel Quảng Bình,hotel,17.465634,106.6264973,Quảng Bình
Peace House,hostel,17.4844307,106.6251945,Quảng Bình
Phong Nha Garden House ( Bungalow Homestay ),hotel,17.6051549,106.29942,Quảng Bình
LeNa Homestay Villa,hotel,17.4773779,106.6218731,Quảng Bình
Phong Nha Riverlife Homestay,hotel,17.6119223,106.3098996,Quảng Bình
Co Cuc Hotel,hotel,17.608569,106.3146871,Quảng Bình
Windy Peak,saddle,17.4504505,106.2045465,Quảng Bình
Tiger Cave - Entrance 1,cave_entrance,17.439433,106.184751,Quảng Bình
Lunch 3D2N,picnic_site,17.4518316,106.1987656,Quảng Bình
intersection where 3D2N and 2D1N split,information,17.4398549,106.1853142,Quảng Bình
Tiger Cave - Entrance 3,cave_entrance,17.4425774,106.1835554,Quảng Bình
Tiger Cave - Entrance 4,cave_entrance,17.4422405,106.1821987,Quảng Bình
Tiger Cave - Entrance 5,cave_entrance,17.4431546,106.1791259,Quảng Bình
Tiger Cave - Entrance 6,cave_entrance,17.4393016,106.1825946,Quảng Bình
Hang Over,cave_entrance,17.4383987,106.1820019,Quảng Bình
Hang Over,cave_entrance,17.4318975,106.1928124,Quảng Bình
Hang Pygmy,cave_entrance,17.4312145,106.1936669,Quảng Bình
Hang Pygmy,cave_entrance,17.4265518,106.1964645,Quảng Bình
Lunch 3D2N + 2D1N,picnic_site,17.4371311,106.2084517,Quảng Bình
Information cave,cave_entrance,17.4276039,106.1975567,Quảng Bình
Hố Sụt Kong,attraction,17.4441121,106.1822601,Quảng Bình
Green Riverside Cosy Home,hostel,17.6044541,106.2990091,Quảng Bình
Anh Linh 2 Hotel,hotel,17.4816951,106.6251219,Quảng Bình
Riverside Hotel,hotel,17.4797343,106.6248324,Quảng Bình
